Date	Start time	Leadtext	name	org name	episode nr	Season number	Widescreen (16:9)	Duration (minutes)	Parental rating	B-line	Country of Origin	Production Year	Genre	Synopsis this episode	Synopsis	Cast	Director	Rerun	Unique ID	Last episode this season	HD	House number	Event number	Signing available	Audio description available	Media ID	RMS ID	Whats'On Product Code	Catch-up Days	Preview Days
	15:50		İtalya'nın Görünmeyen Şehirleri	Italy's Invisible Cities	1	1	TRUE	60		İngiltere, belgesel dizisi, 2016	United Kingdom	2016	Documentary/History	Napoli. Alexander Armstrong ve Dr Michael Scott, ilelebet varolan Vezüv Yanardağı'nı keşfediyor ve Napoli'nin inşasına ve ayakta kalmasına destek olan bir yer altı labirentini araştırıyor.	3 boyutlu tarama teknolojisinin kullanıldığı programda, tarihçi Scott, Napoli, Venedik ve Floransa'nın derinliklerine inerek, 2000 yıllık tarih konusunda izleyicilere yepyeni anlayışları sunuyor.			FALSE		false	FALSE	50008640	31834611	FALSE	FALSE					
	16:50		Ön Cepheler	WWII: Frontlines	4	1	TRUE	65		Birleşik Krallık, belgesel dizisi, 2020	United Kingdom	2020	Belgesel/ Tarih/ Savaş	Omaha. Haziran 1944: müstahkem tepelerin altında yer alan bir sahil şeridi yıkıcı bir kan gölü yaratmıştır. Başarısız planlar, kaçırılan fırsatlar ve cesaret bu ön cepheyi II. Dünya Savaşının büyük bir dönüm noktası yapmıştır.	Kuzey Afrika'dan Kuzey Avrupa'ya ve Akdeniz'den Pasifik'e II. Dünya Savaşında ön cephede savaşan askerlerin maruz kaldıkları koşulların devasa çeşitliliğini inceliyoruz.			FALSE		false	FALSE	51010557	31798419	FALSE	FALSE					
	17:55		Renklerle 2. Dünya Savaşı	World War II In Colour	11	1	TRUE	65		İngiltere, belgesel dizisi, 2009	United Kingdom	2009	Belgesel/ Tarih/ Savaş	Ada Savaşı. 1941'in Aralık ayından bu yana Pasifik'te Japonya'ya karşı şiddetli bir savaş başlamıştır. Japonlar vahşi bir saldırıyla okyanusta bir adadan diğerine geri çekilmeye zorlanır.	En son renklendirme tekniği kullanılarak çekilen bu belgesel, 2. Dünya savaşının tüm hikayesini daha önce hiç görülmemiş bir tarzda aktarıyor.			FALSE		false	TRUE	335549	31798420	FALSE	FALSE					
	19:00		İlk On Savaş Hali	Top Ten Warfare	7	1	TRUE	65		Birleşik Krallık, belgesel dizisi, 2015	United Kingdom	2015	Belgesel/ Tarih/ Savaş	Sırlar. Savaştaki gizlilik galibiyet ile mağlubiyet arasındaki fark anlamına gelebilir; casuslardan sabotaja, askeri komutanlar savaşın tepe noktasında stratejij avantaj yakalamak için çoğu zaman gizli planlara yönelirler.	Bu modern çağda savaş halinin hikayesi; Spitfire'den ikinci Irak savaşının hayalet bombacıları, her bir bölüm 20. ve 21. yüzyılın çatışmalarından on hikaye içermektedir.			FALSE		false	TRUE	51010862	31798421	FALSE	FALSE					
	20:05		Deşifre Hazineler	Treasures Decoded	4	3	TRUE	55		Birleşik Devletler, belgesel dizisi, 2014	United Kingdom	2014	Belgesel/ Tarih/ Arkeoloji/ Gezi	Kral Tut'un Lahiti: Gizli Odalar. 1922'de Howard Carter, Krallar Vadisi'nde Kral Tutankhamun'un mezarını keşfetti; Şimdi, Eski Mısır'dan kalma en büyüleyici mezarda, belki daha da büyük bir keşif yapılacak.	Dünyanın en büyük hazinelerinin dikkat çekici gizemlerini keşfedin; bir bilim insanları ekibi her bir nesneyi, son teknoloji adli tıp dahil çeşitli yeni tekniklerle inceliyor.	Mark Bazeley	Simon Chu	FALSE		false	TRUE	51011899	31798422	FALSE	FALSE					
	21:00		Vietnam Savaşı	The Vietnam War	3	1	TRUE	60		Birleşik Krallık, belgesel dizisi, 2015	United Kingdom	2014		Olumsuzluk & Toparlanma. 1972: Nixon ABD askerlerinin çoğunluğunun geri çekilmesi emrini verir, ABD büyükelçiliği 1975'de tahliye edilir. Vietnam'da Kuzey Güneye büyük tepki verir ve ABD'li gaziler eve döndüklerinde saygısızlık ve ihmalle karşılaşırlar.	Ülkenin hanedanlık tarihinden ve Hristiyan misyonerlerin etkisine ve Fransız sömürgeciliğinden Japonya'nın İkinci Dünya Savaşı esnasındaki işgalinden Ho Çi Minh'in yükselişine, Vietnam Savaşının merak uyandıran hikayesi.			FALSE		true	TRUE	51011080	31798423	FALSE	FALSE					
	22:00		Piramitler: Gizemi Çözmek	The Pyramids: Solving the Mystery	1	1	TRUE	55		Fransa, belgesel dizisi, 2019	France	2019	Belgesel/ Tarih	Khufu ve Sırlar Mezarı. Khufu Piramidi, Antik Dünyanın Yedi Harikası arasında orijinal halini hala koruyabilmiş olanıdır. Onu inşa edenler bu inanılmaz teknik başarıyı nasıl kazandı?	Eski Mısırbilimciler, piramitlerin yapımındaki gizemleri çözmek ve Mısır'ı 5000 yıl önceki haliyle yeniden yaratmak için hava ve uydu görüntülerini kullanan yeni bir araç geliştirir.		François Pomès	FALSE		false	FALSE	50014811	31798424	FALSE	FALSE					
	22:55		Savaş Fabrikaları	War Factories	8	2	TRUE	55		Birleşik Krallık, belgesel dizisi, 2020	United Kingdom	2020	Belgesel/ Tarih/ Teknoloji	İlk Devler. Barnbow mermi fabrikası, sadece dört yılda yarım milyon tondan fazla patlayıcı üretti - Birinci Dünya Savaşı'ndaki savaş fabrikalarının modern dünyanın yolunu nasıl açtığını gösteriyoruz.	Savaşı sadece asker sayınızla, generallerinizin akıllı ve savaş stratejinizin cesur olmasıyla değil, yeterli cephane, uçak ve yiyeceklerle kazanabilirsiniz. 2. Dünya Savaşı bir fabrikalar savaşıydı.	John Heffernan	Mike Ibeji	FALSE		true	TRUE	51013078	31798425	FALSE	FALSE					
	23:50		Doğu Ekspresi'ni Aramak	In Search of the Orient Express	1	1	TRUE	60		Fransa, ıki bölümlük belgeseli, 2018	France	2018	Belgesel/ Tarih/ Seyahat	1. Bölüm	Doğu Ekspresi bir efsanedir, macera umudu veren, benzersiz bir lüks içinde seyahat etmeye bir davettir. Dünyanın en ünlü tren efsanesinin ardında ne olduğunu gerçekten kim biliyor?			FALSE		false	TRUE	50015334	31798426	FALSE	FALSE					
	00:50		Atomik Örtbas	Atomic Cover-Up	0	0	TRUE	60		Birleşik Devletler, belgesel, 2020	United States	2020	Belgesel/ Tarih/ Savaş		Nagasaki ve Hiroşima'daki nükleer saldırıların 75. yıldönümünü anan bu belgesel, bombalamaların sonuçlarını ve her iki şehrin nüfusu üzerindeki yıkıcı etkilerini araştırıyor.			FALSE		false	TRUE	51012666	31798427	FALSE	FALSE					
	01:50		Nil: 5000 Yıllık Tarih	The Nile: 5000 Years of History	1	1	TRUE	55		İngiltere, belgesel dizisi, 2018	United Kingdom	2018	Belgesel/ Tarih	101. İlk bölümde Bettany, büyüleyici 'dahabiya'sına binmeden ve kendisine Mısır boyunca eşlik edecek olan ekiple tanışmadan önce, Mısır'ın dünyaya açılan kapısı Nil Nehri'nin ağzını ziyaret ediyor.	Dahabiya teknesinde seyahat eden Bettany Hughes, mühteşem Nil Nehrinde, Kahire'den 1609 km uzaklaşaraki Aswan Barajına doğru ilerliyor. Yol boyunca en sembolik ve en göz kamaştıran yerlerde duruyor.			FALSE		false	FALSE	50014434	31798428	FALSE	FALSE					
	02:45		İtalya'nın Görünmeyen Şehirleri	Italy's Invisible Cities	1	1	TRUE	60		İngiltere, belgesel dizisi, 2016	United Kingdom	2016	Documentary/History	Napoli. Alexander Armstrong ve Dr Michael Scott, ilelebet varolan Vezüv Yanardağı'nı keşfediyor ve Napoli'nin inşasına ve ayakta kalmasına destek olan bir yer altı labirentini araştırıyor.	3 boyutlu tarama teknolojisinin kullanıldığı programda, tarihçi Scott, Napoli, Venedik ve Floransa'nın derinliklerine inerek, 2000 yıllık tarih konusunda izleyicilere yepyeni anlayışları sunuyor.			FALSE		false	FALSE	50008640	31834612	FALSE	FALSE					
	03:45		Ön Cepheler	WWII: Frontlines	4	1	TRUE	55		Birleşik Krallık, belgesel dizisi, 2020	United Kingdom	2020	Belgesel/ Tarih/ Savaş	Omaha. Haziran 1944: müstahkem tepelerin altında yer alan bir sahil şeridi yıkıcı bir kan gölü yaratmıştır. Başarısız planlar, kaçırılan fırsatlar ve cesaret bu ön cepheyi II. Dünya Savaşının büyük bir dönüm noktası yapmıştır.	Kuzey Afrika'dan Kuzey Avrupa'ya ve Akdeniz'den Pasifik'e II. Dünya Savaşında ön cephede savaşan askerlerin maruz kaldıkları koşulların devasa çeşitliliğini inceliyoruz.			FALSE		false	FALSE	51010557	31834613	FALSE	FALSE					
	04:40		Renklerle 2. Dünya Savaşı	World War II In Colour	11	1	TRUE	55		İngiltere, belgesel dizisi, 2009	United Kingdom	2009	Belgesel/ Tarih/ Savaş	Ada Savaşı. 1941'in Aralık ayından bu yana Pasifik'te Japonya'ya karşı şiddetli bir savaş başlamıştır. Japonlar vahşi bir saldırıyla okyanusta bir adadan diğerine geri çekilmeye zorlanır.	En son renklendirme tekniği kullanılarak çekilen bu belgesel, 2. Dünya savaşının tüm hikayesini daha önce hiç görülmemiş bir tarzda aktarıyor.			FALSE		false	TRUE	335549	31834614	FALSE	FALSE					
	05:35		İlk On Savaş Hali	Top Ten Warfare	7	1	TRUE	55		Birleşik Krallık, belgesel dizisi, 2015	United Kingdom	2015	Belgesel/ Tarih/ Savaş	Sırlar. Savaştaki gizlilik galibiyet ile mağlubiyet arasındaki fark anlamına gelebilir; casuslardan sabotaja, askeri komutanlar savaşın tepe noktasında stratejij avantaj yakalamak için çoğu zaman gizli planlara yönelirler.	Bu modern çağda savaş halinin hikayesi; Spitfire'den ikinci Irak savaşının hayalet bombacıları, her bir bölüm 20. ve 21. yüzyılın çatışmalarından on hikaye içermektedir.			FALSE		false	TRUE	51010862	31834615	FALSE	FALSE					
2021-03-02	06:30		Müzedeki Gizemler	Mysteries at the Museum	4	11	TRUE	45		Birleşik Krallık, belgesel dizisi, 2016	USA	2016	Belgesel/ Tarih	Tel Üstündeki Adam ve Fazlası. Don Wildman, tarihin en büyük cambazlık gösterisini inceler, Thomas Jefferson'un Amerikanın itibarını korumak için verdiği inanılmaz mücadeleyi soruşturur ve en tuhaf aldatmacalardan birini açığa çıkartır.	Müzeler geçmişin muhteşem hazinelerini sergiler, her eserin ardında anlatılması gereken bir öykü ve sırlar bulunur - bunlar skandal, gizem, cinayet ve entrika dolu hikayelerdir.	Don Wildman		FALSE		false	TRUE	51007356	31834616	FALSE	FALSE					
	07:15		Yasak Tarih	Forbidden History	1	6	TRUE	55		Birleşik Krallık, belgesel dizisi, 2020	United Kingdom	2020	Belgesel/ Tarih/ Din	Kayıp Japon Hazinesinin Gizemi. Kayıp Japon Hazinesinin, II. Dünya Savaşı sonunda geri çekilen Japon güçlerinde Filipinlere gömülmüş olduğu düşünülür; bu hazinenin kutsal emanetler, sanat eserleri ve bulyon olarak eritilmiş altın içeridiğine inanılmaktadır.	Bu dizi, savaş zamanı sırlarının, kaybolan medeniyetlerin, tarihi röliklerin, uzun süre inanılmış olan komplo teorilerinin, müthiş hazineler hakkındaki tarihçelerin inanılmaz öykülerinden oluşuyor.			FALSE		false	TRUE	51007278	31834617	FALSE	FALSE					
	08:10		Müzedeki Gizemler	Mysteries at the Museum	7	12	TRUE	55		Birleşik Krallık, belgesel dizisi, 2016	USA	2016	Belgesel/ Tarih	Balık Yağmuru ve Fazlası. Dol Wildman, sıradışı bir fırtınanın parçası olan bir balık türünü, bir petrol zengininin torununu kaçırılışını ve scuba dalış malzemelerinin ilk versiyonlarından biri olan bir sualtı oksijen tankını inceler.	Müzeler geçmişin muhteşem hazinelerini sergiler, her eserin ardında anlatılması gereken bir öykü ve sırlar bulunur - bunlar skandal, gizem, cinayet ve entrika dolu hikayelerdir.	Don Wildman		FALSE		false	TRUE	51007373	31834618	FALSE	FALSE					
	09:05		Müzedeki Gizemler	Mysteries at the Museum	8	12	TRUE	50		Birleşik Krallık, belgesel dizisi, 2016	USA	2016	Belgesel/ Tarih	Evi Havaya Uçurma ve Fazlası. FBI tarihinin en zorlu bomba vakalarından birini, efsanevi bir canavar ile gizemli bir karşılaşmayı ve devrim yaratan bir ilacı kazara keşfeden usta bir bilim insanını araştırıyoruz.	Müzeler geçmişin muhteşem hazinelerini sergiler, her eserin ardında anlatılması gereken bir öykü ve sırlar bulunur - bunlar skandal, gizem, cinayet ve entrika dolu hikayelerdir.	Don Wildman		FALSE		false	TRUE	51007374	31798436	FALSE	FALSE					
	09:55		Deşifre Hazineler	Treasures Decoded	4	3	TRUE	60		Birleşik Devletler, belgesel dizisi, 2014	United Kingdom	2014	Belgesel/ Tarih/ Arkeoloji/ Gezi	Kral Tut'un Lahiti: Gizli Odalar. 1922'de Howard Carter, Krallar Vadisi'nde Kral Tutankhamun'un mezarını keşfetti; Şimdi, Eski Mısır'dan kalma en büyüleyici mezarda, belki daha da büyük bir keşif yapılacak.	Dünyanın en büyük hazinelerinin dikkat çekici gizemlerini keşfedin; bir bilim insanları ekibi her bir nesneyi, son teknoloji adli tıp dahil çeşitli yeni tekniklerle inceliyor.	Mark Bazeley	Simon Chu	FALSE		false	TRUE	51011899	31834619	FALSE	FALSE					
	10:55		Piramitler: Gizemi Çözmek	The Pyramids: Solving the Mystery	1	1	TRUE	55		Fransa, belgesel dizisi, 2019	France	2019	Belgesel/ Tarih	Khufu ve Sırlar Mezarı. Khufu Piramidi, Antik Dünyanın Yedi Harikası arasında orijinal halini hala koruyabilmiş olanıdır. Onu inşa edenler bu inanılmaz teknik başarıyı nasıl kazandı?	Eski Mısırbilimciler, piramitlerin yapımındaki gizemleri çözmek ve Mısır'ı 5000 yıl önceki haliyle yeniden yaratmak için hava ve uydu görüntülerini kullanan yeni bir araç geliştirir.		François Pomès	FALSE		false	FALSE	50014811	31834620	FALSE	FALSE					
	11:50		Nil'i Taramak	Scanning the Nile	2	1	TRUE	65		Fransa, belgesel dizisi, 2020	France	2020	Belgesel/ Tarih/ Gezi	Piramitlerin Kayıp Rotaları. Kahire bölgesinde Nil toprağı gübrelerdi, ancak diğer şeylerin yanı sıra piramitlerin inşası için kullanılan kanallara su da sağlıyordu.	Eski Mısır'ın büyümesinde kutsal nehrin oynadığı muazzam role bir göz atıyoruz; en son teknolojinin kullanımıyla nehrin yüzyıllar içinde nasıl geliştiğine şahit oluyoruz.	Jean-Marc Lancelot	François Pomès	FALSE		false	TRUE	51012020	31834621	FALSE	FALSE					
	12:55		Cinayet Haritaları	Murder Maps	9	5	TRUE	55		Birleşik Krallık, belgesel dizisi, 2020	United Kingdom	2020	Documentary	Richmond Cinayetleri. 1878: dul bir kadın kendi evinde hizmetiçisi tarafından öldürülür. Genç Kate Webster işverenini sadece öldürüp, organlarını çıkarmakla kalmayacak onun giysilerini, mülkünü ve kimliğinide çalacaktı.	Bu drama-belgesel, sizi zaman yolculuğuna çıkarıyor ve tarihin en şok edici, en şaşırtıcı cinayet vakalarına götürüyor. Sunucu Nicholas Day, bizi katilin dünyasına davet ediyor.	Nicholas Day		FALSE		true	TRUE	51011076	31834622	FALSE	FALSE					
	13:50		Deşifre Hazineler	Treasures Decoded	3	2	TRUE	60		Birleşik Krallık, belgesel serisi, 2014	United Kingdom	2014	Belgesel/ Tarih/ Arkeoloji/ Gezi	Nefertiti Büstü. Antik dünyanın en ünlü imgelerinden birinin ardındaki sıradışı hikaye: Kraliçe Nefertiti kimdi, onu modern bir ikon haline getiren büstü kim yaptı ve Nefertiti büstü sahte olabilir mi?	Dünyanın en büyük hazinelerinin dikkat çekici gizemlerini keşfedin; bir bilim insanları ekibi her bir nesneyi, son teknoloji adli tıp dahil çeşitli yeni tekniklerle inceliyor.			FALSE		false	FALSE	51007083	31834623	FALSE	FALSE					
	14:50		Nil: 5000 Yıllık Tarih	The Nile: 5000 Years of History	2	1	TRUE	60		İngiltere, belgesel dizisi, 2018	United Kingdom	2018	Belgesel/ Tarih	102. Bettany bu bölüme, az insanın bildiği Nil uzantısında başlıyor, bir zamanlar burası Mısır'ın ana yoluydu, Kleopatra bu yolu, ülkeyi gezmek ve halkın kendisini görmesini sağlamak için kullanmıştı.	Dahabiya teknesinde seyahat eden Bettany Hughes, mühteşem Nil Nehrinde, Kahire'den 1609 km uzaklaşaraki Aswan Barajına doğru ilerliyor. Yol boyunca en sembolik ve en göz kamaştıran yerlerde duruyor.			FALSE		false	FALSE	50014435	31834624	FALSE	FALSE					
	15:50		İtalya'nın Görünmeyen Şehirleri	Italy's Invisible Cities	2	1	TRUE	60		İngiltere, belgesel dizisi, 2016	United Kingdom	2016	Documentary/History	Venedik. Alexander Armstrong ve Dr Michael Scott, büyüleyici su şehri Venedik'i keşfediyor. Çamur üzerine inşa edilen bu şehrin bugün nasıl ayakta kaldığını anlayabilmek için kanallarına giriyorlar.	3 boyutlu tarama teknolojisinin kullanıldığı programda, tarihçi Scott, Napoli, Venedik ve Floransa'nın derinliklerine inerek, 2000 yıllık tarih konusunda izleyicilere yepyeni anlayışları sunuyor.			FALSE		false	FALSE	50008641	31834625	FALSE	FALSE					
	16:50		Ön Cepheler	WWII: Frontlines	5	1	TRUE	65		Birleşik Krallık, belgesel dizisi, 2020	United Kingdom	2020	Belgesel/ Tarih/ Savaş	112. Tepe. Haziran-Temmuz 1944: D-Gününden üç hafta sonra Müttefiklerin ilerleyişi durmuştur; 112 numaralı Tepenin etrafındaki tarlalar Nazilerin daha fazla savaşamayacağı acımasız bir yıpratma harbinin başlangıcı olur.	Kuzey Afrika'dan Kuzey Avrupa'ya ve Akdeniz'den Pasifik'e II. Dünya Savaşında ön cephede savaşan askerlerin maruz kaldıkları koşulların devasa çeşitliliğini inceliyoruz.			FALSE		false	FALSE	51010558	31834626	FALSE	FALSE					
	17:55		Renklerle 2. Dünya Savaşı	World War II In Colour	12	1	TRUE	60		İngiltere, belgesel dizisi, 2009	United Kingdom	2009	Belgesel/ Tarih/ Savaş	Avrupa'da Zafer. Avrupa'da savaşın son ayları şok edici ve umutsuzdu. Bu bölüm, İngiliz ve Amerikalıları Ren Nehrinden geçerken izlerken, Rusları da Polonya'dan Almanya'ya doğru geçmeye çalışırken ekrana getiriyor.	En son renklendirme tekniği kullanılarak çekilen bu belgesel, 2. Dünya savaşının tüm hikayesini daha önce hiç görülmemiş bir tarzda aktarıyor.			FALSE		false	TRUE	335550	31798444	FALSE	FALSE					
	18:55		İlk On Savaş Hali	Top Ten Warfare	8	1	TRUE	65		Birleşik Krallık, belgesel dizisi, 2015	United Kingdom	2015	Belgesel/ Tarih/ Savaş	Komutanlar. 20. yüzyılın en büyük komutanları savaş halini hem stratejik hem de taktiksel düzeyde anlamışlardı; bazıları korku ve sindirmeyle  birliklerine sadakat aşılrken diğerleri güven ilhamı verirdi.	Bu modern çağda savaş halinin hikayesi; Spitfire'den ikinci Irak savaşının hayalet bombacıları, her bir bölüm 20. ve 21. yüzyılın çatışmalarından on hikaye içermektedir.			FALSE		false	TRUE	51010863	31798445	FALSE	FALSE					
	20:00		Deşifre Hazineler	Treasures Decoded	5	3	TRUE	55		Birleşik Devletler, belgesel dizisi, 2014	United Kingdom	2014	Belgesel/ Tarih/ Arkeoloji/ Gezi	Kutsal Kasenin Peşinde. Kutsal Kase, İsa'nın Son Akşam Yemeği'nde içinden içtiği efsanevi kupadır; uzmanlarımız hikayesinin izini sürüyor ve nasıl dünyanın en kalıcı dini sembollerinden biri haline geldiğini keşfediyor.	Dünyanın en büyük hazinelerinin dikkat çekici gizemlerini keşfedin; bir bilim insanları ekibi her bir nesneyi, son teknoloji adli tıp dahil çeşitli yeni tekniklerle inceliyor.	Mark Bazeley	Paul Williams	FALSE		false	TRUE	51011900	31798446	FALSE	FALSE					
	20:55		Ölüm Makineleri	Killing Machines	1	1	TRUE	65			Australia	2016		101. Saygı duyulsa da duyulmasa da, silahın icadının savaşların yapılma ve kazanılma biçimini sonsuza kadar değiştirdiğini kimse yalanlayamaz.	İster basit araçlar, isterse mühendislik ve bilim harikaları olsun, ölüm makineleri mühendisliğin ve inovasyonun hep ön saflarında yer aldı ve savaşın sadece sürekli değişen yüzünü şekillendirmedi.			FALSE		false	FALSE	50000213	31798447	FALSE	FALSE					
	22:00		Piramitler: Gizemi Çözmek	The Pyramids: Solving the Mystery	2	1	TRUE	55		Fransa, belgesel dizisi, 2019	France	2019	Belgesel/ Tarih	Saqqara, İlk Piramit. Saqqara'nın merkezinde, MÖ 2600 yılında yapılmış, Mısır'daki en büyük nekropol olan Zoser Piramidi bulunur. Sıradışı bir tasarıma sahip olan bu piramit, ilk piramit olup, en karmaşık yapıya sahiptir.	Eski Mısırbilimciler, piramitlerin yapımındaki gizemleri çözmek ve Mısır'ı 5000 yıl önceki haliyle yeniden yaratmak için hava ve uydu görüntülerini kullanan yeni bir araç geliştirir.		François Pomès	FALSE		false	FALSE	50014812	31798448	FALSE	FALSE					
